room,date,area,event_min,max_min,year,month,day
A,7/18/09 0:00,988,0,1080,2009,July,18
A,7/19/09 0:00,988,0,1080,2009,July,19
A,7/20/09 0:00,988,120,1080,2009,July,20
A,7/21/09 0:00,988,0,1080,2009,July,21
A,7/22/09 0:00,988,0,1080,2009,July,22
A,7/23/09 0:00,988,0,1080,2009,July,23
A,7/24/09 0:00,988,0,1080,2009,July,24
A,7/25/09 0:00,988,0,1080,2009,July,25
A,7/26/09 0:00,988,0,1080,2009,July,26
A,7/27/09 0:00,988,0,1080,2009,July,27
A,7/28/09 0:00,988,0,1080,2009,July,28
A,7/29/09 0:00,988,720,1080,2009,July,29
A,7/30/09 0:00,988,1320,1080,2009,July,30
A,7/31/09 0:00,988,0,1080,2009,July,31
A,8/1/09 0:00,988,0,1080,2009,August,1
A,8/2/09 0:00,988,0,1080,2009,August,2
A,8/3/09 0:00,988,0,1080,2009,August,3
A,8/4/09 0:00,988,60,1080,2009,August,4
A,8/5/09 0:00,988,0,1080,2009,August,5
A,8/6/09 0:00,988,720,1080,2009,August,6
A,8/7/09 0:00,988,750,1080,2009,August,7
A,8/8/09 0:00,988,195,1080,2009,August,8
A,8/9/09 0:00,988,90,1080,2009,August,9
A,8/10/09 0:00,988,0,1080,2009,August,10
A,8/11/09 0:00,988,0,1080,2009,August,11
A,8/12/09 0:00,988,50,1080,2009,August,12
A,8/13/09 0:00,988,150,1080,2009,August,13
A,8/14/09 0:00,988,0,1080,2009,August,14
A,8/15/09 0:00,988,0,1080,2009,August,15
A,8/16/09 0:00,988,210,1080,2009,August,16
A,8/17/09 0:00,988,0,1080,2009,August,17
A,8/18/09 0:00,988,90,1080,2009,August,18
A,8/19/09 0:00,988,750,1080,2009,August,19
A,8/20/09 0:00,988,0,1080,2009,August,20
A,8/21/09 0:00,988,0,1080,2009,August,21
A,8/22/09 0:00,988,0,1080,2009,August,22
A,8/23/09 0:00,988,300,1080,2009,August,23
A,8/24/09 0:00,988,300,1080,2009,August,24
A,8/25/09 0:00,988,570,1080,2009,August,25
A,8/26/09 0:00,988,570,1080,2009,August,26
A,8/27/09 0:00,988,210,1080,2009,August,27
A,8/28/09 0:00,988,420,1080,2009,August,28
A,8/29/09 0:00,988,0,1080,2009,August,29
A,8/30/09 0:00,988,0,1080,2009,August,30
A,8/31/09 0:00,988,0,1080,2009,August,31
A,9/1/09 0:00,988,0,1080,2009,September,1
A,9/2/09 0:00,988,90,1080,2009,September,2
A,9/3/09 0:00,988,180,1080,2009,September,3
A,9/4/09 0:00,988,0,1080,2009,September,4
A,9/5/09 0:00,988,0,1080,2009,September,5
A,9/6/09 0:00,988,0,1080,2009,September,6
A,9/7/09 0:00,988,0,1080,2009,September,7
A,9/8/09 0:00,988,120,1080,2009,September,8
A,9/9/09 0:00,988,510,1080,2009,September,9
A,9/10/09 0:00,988,1560,1080,2009,September,10
A,9/11/09 0:00,988,0,1080,2009,September,11
A,9/12/09 0:00,988,0,1080,2009,September,12
A,9/13/09 0:00,988,0,1080,2009,September,13
A,9/14/09 0:00,988,300,1080,2009,September,14
A,9/15/09 0:00,988,0,1080,2009,September,15
A,9/16/09 0:00,988,60,1080,2009,September,16
A,9/17/09 0:00,988,420,1080,2009,September,17
A,9/18/09 0:00,988,690,1080,2009,September,18
A,9/19/09 0:00,988,0,1080,2009,September,19
A,9/20/09 0:00,988,0,1080,2009,September,20
A,9/21/09 0:00,988,0,1080,2009,September,21
A,9/22/09 0:00,988,870,1080,2009,September,22
A,9/23/09 0:00,988,120,1080,2009,September,23
A,9/24/09 0:00,988,540,1080,2009,September,24
A,9/25/09 0:00,988,315,1080,2009,September,25
A,9/26/09 0:00,988,0,1080,2009,September,26
A,9/27/09 0:00,988,0,1080,2009,September,27
A,9/28/09 0:00,988,210,1080,2009,September,28
A,9/29/09 0:00,988,660,1080,2009,September,29
A,9/30/09 0:00,988,0,1080,2009,September,30
A,10/1/09 0:00,988,0,1080,2009,October,1
A,10/2/09 0:00,988,0,1080,2009,October,2
A,10/3/09 0:00,988,1019,1080,2009,October,3
A,10/4/09 0:00,988,1020,1080,2009,October,4
A,10/5/09 0:00,988,1020,1080,2009,October,5
A,10/6/09 0:00,988,1020,1080,2009,October,6
A,10/7/09 0:00,988,1020,1080,2009,October,7
A,10/8/09 0:00,988,1020,1080,2009,October,8
A,10/9/09 0:00,988,1020,1080,2009,October,9
A,10/10/09 0:00,988,1020,1080,2009,October,10
A,10/11/09 0:00,988,1020,1080,2009,October,11
A,10/12/09 0:00,988,1019,1080,2009,October,12
A,10/13/09 0:00,988,135,1080,2009,October,13
A,10/14/09 0:00,988,480,1080,2009,October,14
A,10/15/09 0:00,988,0,1080,2009,October,15
A,10/16/09 0:00,988,0,1080,2009,October,16
A,10/17/09 0:00,988,0,1080,2009,October,17
A,10/18/09 0:00,988,1019,1080,2009,October,18
A,10/19/09 0:00,988,1019,1080,2009,October,19
A,10/20/09 0:00,988,1019,1080,2009,October,20
A,10/21/09 0:00,988,1019,1080,2009,October,21
A,10/22/09 0:00,988,420,1080,2009,October,22
A,10/23/09 0:00,988,360,1080,2009,October,23
A,10/24/09 0:00,988,0,1080,2009,October,24
A,10/25/09 0:00,988,360,1080,2009,October,25
A,10/26/09 0:00,988,270,1080,2009,October,26
A,10/27/09 0:00,988,600,1080,2009,October,27
A,10/28/09 0:00,988,0,1080,2009,October,28
A,10/29/09 0:00,988,555,1080,2009,October,29
A,10/30/09 0:00,988,285,1080,2009,October,30
A,10/31/09 0:00,988,0,1080,2009,October,31
A,11/1/09 0:00,988,90,1080,2009,November,1
